fixed acidity,volatile acidity,citric acid,residual sugar,quality
6.8,0.66,0.07,1.6,5.0
6.7,0.64,0.23,2.1,5.0
7.0,0.43,0.3,2.0,6.0
8.8,0.955,0.195,1.8,4.0
7.2,0.25,0.315,2.5,7.0
6.4,0.885,0.0,2.3,5.0
6.2,0.43,0.22,1.8,6.0
7.9,0.58,0.23,2.3,6.0
7.9,0.34,0.195,1.9,7.0
8.6,0.42,0.39,1.8,7.0
7.2,0.36,0.46,2.1,7.0
7.2,0.36,0.46,2.1,7.0
7.2,0.36,0.46,2.1,7.0
7.2,0.36,0.46,2.1,7.0
6.2,0.39,0.43,2.0,7.0
6.8,0.65,0.02,2.1,6.0
6.6,0.44,0.15,2.1,5.0
7.9,0.57,0.31,2.0,6.0
8.2,0.34,0.37,1.9,6.0
8.2,0.4,0.31,1.9,6.0
10.9,0.32,0.245,1.8,6.0
10.5,0.36,0.47,2.2,6.0
12.6,0.39,0.39,2.5,6.0
9.2,0.46,0.23,2.6,5.0
7.5,0.58,0.03,4.1,5.0
5.1,0.42,0.27,1.8,7.0
7.6,0.43,0.19,2.1,5.0
7.8,0.815,0.01,2.6,5.0
10.2,0.23,0.37,2.2,4.0
7.1,0.75,0.01,2.2,6.0
6.0,0.33,0.32,12.9,4.0
7.8,0.55,0.0,1.7,6.0
7.1,0.75,0.01,2.2,6.0
8.1,0.73,0.0,2.5,4.0
6.5,0.67,0.0,4.3,4.0
9.0,0.4,0.41,2.0,6.0
5.9,0.29,0.11,13.4,6.0
7.1,0.6,0.01,2.3,6.0
7.9,0.66,0.0,1.4,5.0
7.8,0.7,0.06,1.9,5.0
6.1,0.64,0.02,2.4,5.0
7.5,0.59,0.165,1.8,5.0
7.0,0.58,0.28,4.8,6.0
6.3,1.02,0.0,2.0,4.0
8.2,0.78,0.0,2.2,4.0
7.2,0.57,0.05,2.3,6.0
10.4,0.43,0.5,2.3,6.0
6.9,0.41,0.31,2.0,6.0
5.5,0.49,0.25,1.8,7.0
5.9,0.46,0.165,1.9,5.0
7.8,0.58,0.13,2.1,6.0
7.0,0.715,0.22,2.3,6.0
8.5,0.4,0.4,6.3,4.0
7.0,0.69,0.395,1.9,6.0
9.8,0.3,0.39,1.7,7.0
7.1,0.46,0.405,1.9,6.0
7.1,0.46,0.405,1.9,6.0
7.9,0.765,0.0,2.0,6.0
8.7,0.63,0.28,2.7,6.0
7.0,0.42,0.19,2.3,5.0
11.3,0.37,0.5,1.8,5.0
7.1,0.16,0.44,2.5,6.0
7.0,0.6,0.195,2.6,5.0
7.0,0.6,0.3,4.5,5.0
7.0,0.6,0.3,4.5,5.0
7.6,0.74,0.0,1.9,5.0
5.9,0.395,0.29000000000000004,2.4,6.0
7.5,0.755,0.0,1.9,4.0
6.6,0.63,0.0,4.3,5.0
6.6,0.63,0.22,4.3,5.0
7.2,0.53,0.14,2.1,6.0
5.7,0.6,0.0,1.4,6.0
7.6,1.58,0.0,2.1,4.0
5.2,0.645,0.115,2.15,6.0
7.0,0.28,0.44,1.8,5.0
7.5,0.61,0.26,1.9,5.0
9.7,0.69,0.32,2.5,5.0
6.8,0.68,0.09,3.9,4.0
9.7,0.69,0.29000000000000004,2.5,5.0
7.5,0.61,0.29000000000000004,1.9,5.0
6.5,0.51,0.15,4.0,6.0
7.0,0.36,0.35,2.4,6.0
9.9,0.44,0.46,2.2,6.0
9.1,0.76,0.22,1.7,6.0
9.7,0.66,0.34,2.6,5.0
5.0,0.74,0.0,1.2,6.0
9.1,0.36,0.23,1.8,7.0
6.7,0.46,0.24,1.7,6.0
6.7,0.46,0.175,1.7,6.0
6.5,0.52,0.11,1.8,5.0
7.4,0.6,0.30000000000000004,2.1,6.0
7.4,0.6,0.26,2.1,6.0
7.8,0.87,0.235,3.8,5.0
8.4,0.39,0.1,1.7,6.0
9.1,0.775,0.055,2.2,5.0
6.0,0.5,0.0,1.4,5.0
6.0,0.5,0.0,1.4,5.0
7.5,0.51,0.02,1.7,6.0
7.5,0.51,0.02,1.7,6.0
7.6,0.54,0.02,1.7,6.0
7.5,0.51,0.02,1.7,6.0
8.2,0.44,0.24,2.3,6.0
7.2,0.655,0.03,1.8,5.0
6.9,0.57,0.165,2.8,5.0
7.2,0.62,0.01,2.3,6.0
7.6,0.645,0.03,1.9,5.0
6.1,0.34,0.25,1.8,5.0
7.4,0.64,0.17,5.4,5.0
11.6,0.475,0.4,1.4,6.0
9.2,0.54,0.31,2.3,5.0
11.6,0.475,0.4,1.4,6.0
7.0,0.83,0.27,2.0,4.0
7.8,0.5,0.16,2.2,5.0
7.0,0.77,0.32,2.1,6.0
6.6,0.61,0.065,1.6,4.0
8.7,0.78,0.51,1.7,5.0
7.5,0.58,0.08,3.1,6.0
8.7,0.78,0.51,1.7,5.0
6.8,0.815,0.0,1.2,4.0
8.2,0.885,0.2,1.4,5.0
5.2,0.49,0.235,2.3,6.0
7.5,0.57,0.02,2.6,6.0
6.8,0.83,0.09,1.8,5.0
7.0,0.6,0.22,2.1,5.0
7.1,0.755,0.15,1.8,5.0
7.0,0.81,0.185,3.4,5.0
7.4,0.64,0.07,1.8,5.0
6.7,0.48,0.02,2.2,5.0
6.0,0.49,0.0,2.3,6.0
7.0,0.64,0.22,2.4,5.0
7.0,0.52,0.25,2.0,5.0
8.6,0.685,0.1,1.6,6.0
7.0,0.6,0.12,2.2,7.0
7.2,0.67,0.0,2.2,6.0
7.9,0.69,0.21,2.1,5.0
7.6,0.3,0.42,2.0,6.0
7.2,0.33,0.05,1.7,7.0
7.0,0.5,0.39,2.6,6.0
7.7,0.28,0.3,2.0,7.0
8.1,0.29,0.215,2.2,7.0
6.4,0.47,0.17,2.4,6.0
8.2,0.24,0.34,5.1,6.0
6.2,0.58,0.0,1.6,5.0
7.3,0.34,0.33,2.5,7.0
7.8,0.53,0.17,1.6,5.0
7.7,0.64,0.21,2.2,5.0
7.5,0.4,0.18,1.6,5.0
7.0,0.54,0.095,2.1,6.0
6.4,0.53,0.09,3.9,4.0
7.9,0.18,0.095,2.2,5.0
7.4,0.41,0.24,1.8,5.0
7.6,0.43,0.31,2.1,6.0
5.9,0.44,0.0,1.6,6.0
6.1,0.4,0.055,1.8,7.0
10.2,0.54,0.37,15.4,6.0
10.2,0.54,0.37,15.4,6.0
6.8,0.915,0.29,4.8,5.0
7.2,0.37,0.165,2.0,7.0
6.9,0.63,0.02,1.9,5.0
6.9,0.58,0.22,1.75,5.0
7.4,0.785,0.19,5.2,6.0
6.9,0.58,0.01,1.9,5.0
7.2,0.38,0.31,2.0,7.0
7.2,0.37,0.165,2.0,7.0
7.8,0.32,0.44,2.7,7.0
6.6,0.58,0.02,2.0,7.0
6.5,0.9,0.0,1.6,6.0
7.9,0.2,0.35,1.7,7.0
6.2,0.785,0.0,2.1,4.0
6.8,0.59,0.1,1.7,5.0
7.3,0.48,0.32,2.1,7.0
6.7,1.04,0.08,2.3,4.0
7.3,0.48,0.32,2.1,7.0
7.3,0.98,0.05,2.1,4.0
10.0,0.69,0.11,1.4,5.0
6.1,0.6,0.065,1.8,5.0
5.3,0.47,0.15,2.2,7.0
9.9,0.5,0.5,13.8,5.0
5.3,0.47,0.11,2.2,7.0
7.1,0.875,0.30000000000000004,5.7,4.0
5.6,0.62,0.30000000000000004,1.5,4.0
7.2,0.58,0.54,2.1,4.0
6.8,0.91,0.06,2.0,4.0
6.8,0.68,0.21,2.1,5.0
6.0,0.64,0.265,1.9,5.0
5.6,0.54,0.04,1.7,5.0
7.1,0.22,0.49,1.8,6.0
6.2,0.65,0.265,1.6,5.0
7.7,0.54,0.235,1.9,5.0
6.4,0.31,0.35,1.4,7.0
7.7,0.54,0.26,1.9,5.0
6.6,0.895,0.025,2.3,6.0
6.9,0.74,0.03,2.3,6.0
7.8,0.82,0.21,4.3,5.0
7.5,0.38,0.035,2.3,6.0
6.7,0.76,0.02,1.8,4.0
6.8,0.81,0.05,2.0,6.0
7.9,0.18,0.4,1.8,5.0
6.4,0.36,0.21,2.2,6.0
6.4,0.79,0.04,2.2,6.0
6.9,0.84,0.21,4.1,6.0
6.9,0.84,0.21,4.1,6.0
6.1,0.32,0.25,2.3,5.0
6.6,0.7,0.08,2.6,5.0
6.9,0.48,0.2,1.9,4.0
6.1,0.32,0.37,2.3,5.0
6.7,0.48,0.08,2.1,5.0
6.8,0.47,0.08,2.2,6.0
7.1,0.53,0.07,1.7,6.0
7.9,0.29,0.49,2.2,6.0
7.2,0.53,0.245,2.0,6.0
6.6,0.56,0.14,2.4,7.0
7.2,0.39,0.37,1.8,5.0
7.4,0.25,0.29,2.2,7.0
6.7,0.855,0.08,1.9,6.0
11.1,0.44,0.42,2.2,6.0
8.4,0.37,0.43,2.3,7.0
7.0,0.57,0.0,2.0,5.0
6.3,0.6,0.01,1.6,5.0
11.2,0.4,0.39,2.0,5.0
7.4,0.36,0.01,1.8,7.0
7.1,0.68,0.0,2.3,5.0
7.3,0.735,0.0,2.2,5.0
6.6,0.855,0.02,2.4,6.0
7.0,0.56,0.17,1.7,7.0
6.6,0.88,0.04,2.2,5.0
6.6,0.855,0.02,2.4,6.0
6.9,0.63,0.33,6.7,5.0
7.8,0.6,0.325,2.0,5.0
7.8,0.6,0.325,2.0,5.0
7.2,0.695,0.085,2.0,5.0
6.7,0.16,0.32,2.1,6.0
7.2,0.695,0.13,2.0,5.0
6.2,0.51,0.14,1.9,6.0
7.3,0.69,0.32,2.2,5.0
6.0,0.58,0.2,2.4,6.0
6.2,0.7,0.215,5.1,6.0
6.2,0.56,0.29000000000000004,1.7,5.0
7.4,0.35,0.33,2.4,6.0
6.1,0.715,0.1,2.6,5.0
6.7,0.32,0.44,2.4,7.0
7.2,0.39,0.44,2.6,6.0
7.5,0.31,0.41,2.4,6.0
7.2,0.66,0.33,2.5,6.0
5.4,0.74,0.215,1.7,6.0
6.8,0.62,0.08,1.9,6.0
6.2,0.6,0.08,2.0,5.0
6.0,0.31,0.47,3.6,6.0
7.91080109677652,0.8910778633072223,0.010270027419413,2.670252056455974,4.0
8.144211174476444,0.9683949515453218,0.016105279361911085,3.107895952143332,4.0
9.987525226555904,0.503593224446752,0.6999667951162624,2.8093560800830732,4.0
6.471207732624188,0.5328792267375813,0.01257584534751626,1.906563608557954,4.0
6.8,0.7964530713677158,0.01296259884982696,1.5709385726456824,4.0
7.579759972662147,0.7814204909443367,0.00711835822200602,2.0495499487415287,4.0
7.375086933552562,1.156349973585448,0.0016608710964957814,4.262456533223719,4.0
6.8,0.7869910915848314,0.0186726056101124,1.760178168303372,4.0
6.535667988365319,0.5264332011634681,0.011286640232693629,1.9366450612371489,4.0
7.3,0.8697986383277204,0.04487435527105677,1.9718588817764189,4.0
7.9186851977614605,0.7118685197761462,0.0072525920895415204,2.0648444746275088,4.0
7.038181603455929,0.4761818396544071,0.0012363679308814125,2.1711514149461006,4.0
9.01796205539618,0.948961779930372,0.15717199031332654,2.911337702436984,4.0
6.171006544838883,0.5675436191201241,0.2368187827410961,2.05865772250424,4.0
9.188926949255775,0.5235232434186163,0.9899335902325248,3.3989933590232524,4.0
10.080708220148024,0.2579393905442787,0.3630936337980435,2.193721485270949,4.0
6.662784736900494,0.7618607631549753,0.02448970842929836,1.8223291578597045,4.0
7.546259697545563,0.6146374369886589,0.09229005040907284,2.223129848772781,4.0
7.6138764524750515,0.6305863913984534,0.004282303770625425,2.2,4.0
9.95451694400473,0.9123217589183844,0.21743265195302466,3.2973060781209864,4.0
7.904846190592459,0.8545293423105925,0.04469711308797128,2.955451964416517,4.0
12.072598574752961,0.5027401425247041,0.4538352640175581,4.302737803732136,4.0
7.3145790283617504,0.7592789454993443,0.0,1.9285263033289608,4.0
7.1149993848552775,0.8572492925835715,0.019000041009648024,4.3925003075723605,4.0
7.552236983673501,0.6795657907606683,0.01913158152133639,1.430262771799541,4.0
8.980587623312164,0.9160607937233146,0.1882527855841941,1.8338601793710307,4.0
9.809404983160523,0.5073040628508224,0.8578055039292112,2.9429462626296066,4.0
7.471489931852226,0.8720223243976134,0.0,2.1233147296686554,4.0
6.8689298604088425,1.0552014436579031,0.06186420837546947,2.211852502528169,4.0
7.459459495675597,1.173603596662177,0.009711717627014504,4.207387361432486,4.0
10.016858192313704,0.6556822924549044,0.3573739896470518,1.952637766274502,4.0
6.2864710203652105,0.7547351428721765,0.18354285363703315,2.1096078911516902,4.0
7.270369139397796,1.2602580652158624,0.004951673759747881,1.9351845696988983,4.0
7.9864389719613875,0.8963402502922062,0.36223584317287577,2.1,4.0
6.608303962007521,0.6117566073477448,0.0001916298924812577,1.6012775326165418,4.0
9.70079541491929,0.8497851751077715,0.259920458508071,3.277167819975166,4.0
8.422446034365045,0.9298297356243364,0.26511066739990297,1.9887769828174773,4.0
6.586935789425558,0.5927988801098737,0.000482976607919765,2.2,4.0
7.127974356363269,0.8068006410909182,0.041871228012264124,1.434267397402335,4.0
8.401739691834893,0.6710691482700155,0.27063642232819346,2.1,4.0
9.116552360115463,0.4916059181440943,0.17284734515275413,2.2720197271469806,4.0
6.833478070116899,1.0154954385309274,0.06399131579298603,2.3394789475791624,4.0
7.772058628316585,0.8820475578629682,0.019751140231542216,2.16708143294743,4.0
6.621566578098122,0.7137232359079342,0.0243133156196244,2.1189556146012523,4.0
6.9956912695653894,0.5010520793043858,0.11023847233692972,2.3784563478269503,4.0
8.148062701559434,0.7375597594502078,0.5409728152259352,2.730585355537821,4.0
9.3480938343357,0.8368172669713649,0.2007258044423172,1.9027675939379445,4.0
6.7480486540348394,0.9198144925190213,0.06911708075790958,2.647024845474576,4.0
8.133180382974965,0.9949770574462444,0.10038685609175976,3.539016347520864,4.0
7.20033710879451,0.7896628912054904,0.06529638764438178,3.4815507004547444,4.0
6.641531636282522,0.787758487327885,0.061475694530853976,3.297820217873584,4.0
6.956771052099338,0.6915819410090235,0.17800782159050094,3.3161447395033146,4.0
7.8154025971573065,0.6850116881522486,0.08537922085280839,2.8375292203806213,4.0
7.202569540171927,0.5397719223851043,0.17646039656389512,2.009229137948421,4.0
7.112597041145975,0.8746850739713506,0.049580098628467496,5.6632586299909065,4.0
5.108984964604441,0.5857438912614072,0.17544924823022212,2.0787922931414817,4.0
6.81935091310383,0.7593387437257013,0.08419472606885113,3.5516835641310687,4.0
7.0,0.9248849585254124,0.11949282440796655,2.0,4.0
6.925767789602379,0.9259947559143076,0.0,1.7628838948011896,4.0
6.9560712662021125,0.425511801928004,0.29607126620211155,2.1,4.0
6.690231824630027,0.5796398833007361,0.043268239968045775,3.1586090522198256,4.0
8.19561959269438,0.7778097963471898,0.0,2.2131412219168616,4.0
9.359691006430094,0.7769725032956546,0.1813931939596896,3.1722126173631056,4.0
5.794009830306085,1.1077345138748742,0.08653647993609155,1.490104228388833,4.0
6.646507221450001,0.7626746389275,0.04562999128128517,1.8320956671299995,4.0
7.537019964980283,1.5272542206709872,0.004723502626478764,2.0921274956225355,4.0
7.1,0.8658540613530586,0.04562999128128517,5.360293707399321,4.0
8.270292465574366,0.7366042353000803,0.20435095868923872,2.5620659825110823,4.0
10.195695259815775,0.2310082154642002,0.02885459080266628,2.1997734347271463,4.0
7.164089739808254,0.9152859803318588,0.11554617593117165,2.726377582463124,4.0
6.669476538584639,0.7220020337415552,0.029367778818456224,2.0810333645536865,4.0
6.514081449275272,0.8741914021739503,0.03,5.529592753623638,4.0
7.473267049770985,0.7947295682207853,0.020152316533176583,1.7343487768878438,4.0
7.6331719442624735,0.7012738811475658,0.02834140278687632,2.735337608196553,4.0
7.5,0.973211805822442,0.060614390506233885,2.6273726860748066,4.0
7.467362638550277,0.7765871270228253,0.2432935635114127,2.0667660912214685,4.0
6.8003608567991245,0.8159923561975895,0.0002165140794740861,1.2032477111921112,4.0
6.8864996145926405,0.5447251348925758,0.0,2.176277734954738,4.0
7.672137709230326,0.92883106498083,0.026741393173104592,2.6582065638454897,4.0
5.963349491841423,0.7199211102563912,0.030307195253116943,1.8633494918414224,4.0
7.3,0.6543829372075846,0.0332955859073812,1.7213755083809124,4.0
6.4869046488987445,0.5919195623403557,0.0704464539977824,3.3133936199334717,4.0
6.415274846916941,0.5321215065162419,0.08923625765415294,3.8855737556895553,4.0
7.029849092140981,0.6174790405751363,0.05850754539295098,3.3051425240890735,4.0
6.995931993117102,0.9320928008694188,0.0,2.0732559992754847,4.0
6.763646872590496,0.912955859073812,0.0365911718147624,4.446544932416581,4.0
8.111999775890856,0.7132229090081166,0.08506883924311448,2.2596571492602613,4.0
6.749452337955978,0.7143724101899351,0.08090142083207601,3.7079188842327166,4.0
5.299973024289973,0.5259997687796284,0.2009980346268409,2.1099996146327142,4.0
7.602130049428202,0.7375543744669597,0.0925526896200777,1.88936098517154,4.0
6.627443653188176,0.9166542104198984,0.040450710416038,2.6869671829963977,4.0
6.519855626838223,0.9922287629256984,0.0,2.023142697561918,4.0
7.5072909077490335,0.48473909003687204,0.17781272767528986,2.33684772509218,4.0
5.992357016525534,0.6699363475577953,0.02643311803158605,1.6070064590524185,4.0
7.9981916564818025,0.7087899284337091,0.016968057253032676,2.449095828240902,4.0
7.5189451838012,0.9113308287168966,0.10699964339769524,2.080095892381709,4.0
7.5,0.9380616676347082,0.02531534969776801,2.510205558782361,4.0
6.747462364804022,0.9109327956005028,0.03618655912010056,4.5173521539824035,4.0
7.565432026622927,1.2706166382752109,0.024197581363949984,2.2382718935082857,4.0
7.547391537308925,0.9459836636200226,0.1505893774444734,2.471087305963389,4.0
6.064949976165509,0.3395840818488129,0.332016028782228,12.749506152787236,4.0
6.589789528680668,0.6273499738766832,0.04489476434033346,3.7612628279159983,4.0
9.101285964549794,0.6662276061751973,0.26499219576884625,1.7513640068613303,4.0
8.198816289986066,0.8172287331218069,0.02358308646941749,1.5495067874941943,4.0
8.34096696551523,0.6509782444437966,0.2090217555562034,2.2262369042154533,4.0
6.986429570074924,0.4813570429925076,0.002271408598501523,2.1470004660349646,4.0
9.039884069553596,0.7059004084729847,0.12049795763507636,2.234904493202832,4.0
7.339122348339496,0.9703498207429238,0.05652039138991635,2.118257095891766,4.0
6.556864187815293,0.8733246388216829,0.16075629357938132,5.53077403222486,4.0
9.298149830741064,0.6297739427464581,0.15348403816902792,2.2623843644213166,4.0
7.531172762700591,0.7005863813502956,0.0097489153967416,2.4454476652739654,4.0
6.981806641169982,0.5556901851517639,0.005909667941500964,2.081806641169981,4.0
7.196177557220267,0.9506041908033064,0.013588162851982236,4.351911221389867,4.0
7.907603369159651,0.7105558001754171,0.09688727332184753,3.004090734810962,4.0
7.13940150551942,0.5298753136498789,0.09688727332184753,2.01970075275971,4.0
6.8557447033046035,0.9085532835488777,0.07327658900861872,2.8965953405171234,4.0
10.100579906285077,0.5985590020081769,0.4652739941986,2.0809799955373847,4.0
7.511833956777332,0.5764792445971667,0.3055677974969546,1.7059169783886667,4.0
8.175713139938091,0.6318651049442645,0.006794081425991118,5.262282047801893,4.0
7.589784675987477,0.4752476929570087,0.006794081425991118,2.217492309856696,4.0
7.803746090414388,0.6129682613017986,0.14586160079530927,1.851873045207194,4.0
6.532171804458369,0.6016266018859034,0.0,2.273280221266285,4.0
7.467161727185588,0.7983209568203603,0.0,1.6765440908468487,4.0
6.623845954916593,0.6295834410868459,0.17468587920068762,1.807948651638864,4.0
7.2676738298602475,0.6007322343247181,0.3055677974969546,2.0297980571089407,4.0
7.577554235146803,0.4049896979917473,0.4550103020082527,2.5655314510458656,4.0
7.5470827317311,0.5227356985676027,0.2533829266149021,1.651120565185745,4.0
6.630892471570412,0.6078260760040539,0.06544623578520645,3.5146451705775226,4.0
6.829390324744098,0.5647133863395649,0.0,2.1699322583049003,4.0
8.189265244599591,0.8951407025092449,0.24101616041889795,2.1429390216016326,4.0
7.460578859839275,0.6675783107923728,0.2301850155298072,1.9862429015137344,4.0
5.910199785041073,1.080215840385009,0.08225579739322365,1.477873706837782,4.0
8.61831346580919,0.809379207397543,0.08275736361352926,2.1848422159138483,4.0
9.524387355383952,0.7143999691657594,0.1869033153252148,1.763225905916905,4.0
10.10317430010914,0.2552333642139817,0.36090425243449503,2.1970658878820952,4.0
7.0364223340503225,0.8134789208828188,0.040763387692882916,1.3593239648368085,4.0
8.806054619305412,0.5564766812679431,0.3249930513671431,2.1266344536476534,4.0
7.8251974036510275,0.8475987018255138,0.09739491585970207,1.9309045436107013,4.0
11.950220402794075,0.6285358941998258,0.4970717883996516,1.404880352667247,4.0
6.719834977610108,0.7343593273333036,0.08770668162265333,4.610742600754515,4.0
8.307951052434756,0.8038337560434865,0.20661158067250696,3.3189046411304317,4.0
7.281702254087159,1.0489575922002334,0.00788651639418936,4.3091488729564205,4.0
9.608381316592752,0.5778948674322304,0.32551647972236064,1.6532165193691448,4.0
9.223401641549204,0.4560127629557561,0.28908185029979105,2.2279028102414515,4.0
7.23173927127705,0.6766521751934278,0.013304350386855457,2.304347441971682,4.0
7.2962247257405926,0.7562735954641213,0.00509438185648517,1.874528090717574,4.0
9.883900089070153,0.6650871766445756,0.4567868506373135,2.1,4.0
6.922742887286402,0.5985114067173573,0.008862855635679814,2.022742887286404,4.0
11.229822913994617,0.5833652462364125,0.6027908139809862,2.1663475376358745,4.0
7.614006889409598,1.5475507062010945,0.006978618746082493,2.0859931105904006,4.0
7.423248804281638,0.6550870998942404,0.22817493561516514,1.9804998160433287,4.0
8.749946884187949,0.3920952321215856,0.3241904642431712,1.7661375993245243,4.0
7.994862595893867,0.7194862595893868,0.0042054961642452576,2.2476702301452844,4.0
7.501214815344776,0.6958725973357353,0.08563159679590024,2.495140738620901,4.0
7.806430940911117,0.8565052491768069,0.08563159679590024,2.4745580142083408,4.0
6.816333050414716,0.746965506700338,0.03641324153191986,3.606005092535102,4.0
7.8855220408941875,0.7305893265812222,0.06434338773174357,2.951473316453056,4.0
8.896478465258891,0.6088649592322484,0.31078288729364073,2.760273573128692,4.0
7.967249088595394,0.5230950333823392,0.3164628189916124,1.9575325031813344,4.0
10.244300151956622,0.49824374683423706,0.7563299645434542,2.6167748860325317,4.0
7.26952220020895,0.5729134891034301,0.16240033795612066,1.9891433399373155,4.0
6.8,0.7120685196506084,0.06862098689959446,3.2586296069878338,4.0
11.693016431161062,0.6273305776622701,0.4719710654538362,1.6002066753297417,4.0
5.295434547749542,0.9443687557761172,0.09199648040391943,1.5418085829197803,4.0
7.584504861719793,0.7475342611779092,0.2598607436041518,1.9352122021200893,4.0
8.753266555363233,0.7222713411245741,0.2027504359111809,5.186901131516741,4.0
6.407924834625664,0.5356464446707857,0.05659057150241398,3.846507366276767,4.0
7.5,0.8664440523778132,0.030956681216059205,2.2714801745927105,4.0
6.601954861754518,0.6738928390000939,0.044560156105233485,2.536804683157005,4.0
7.159358619020282,0.6135291393082665,0.4912303428243397,2.089839654755071,4.0
8.425873392066686,0.8692626523486153,0.04064683480166713,1.6441139133611191,4.0
7.097793557040845,0.546184767163667,0.04260349545345031,1.930429778006284,4.0
8.279571265017928,0.8527175221043395,0.015478340608029603,2.2465321185702822,4.0
7.0,0.9398563702356336,0.09574506790209852,2.0,4.0
7.454774409615814,1.43913117732734,0.0,2.027387204807907,4.0
8.638560283027331,0.6986399099458485,0.4260375162227764,3.3489600257297574,4.0
7.5057775833035825,0.5582311033321433,0.06703996499464486,1.7646220666428658,4.0
7.1,0.8683971791717399,0.0022868966127966768,5.4547523692360524,4.0
6.314344830639834,0.7792827584680083,0.0045737932255933535,2.0313931016161,4.0
6.845454928496019,0.9231818660620024,0.03863637321240048,4.088634687829916,4.0
11.023726146107222,0.6550326629203277,0.0653376623763523,1.675359292123604,4.0
7.128059819852598,0.7777016937494156,0.0022868966127966768,2.1,4.0
10.841168754607203,0.5868984658672072,0.5427260802574772,2.1310153413279282,4.0
6.812468928534355,0.9919651999584772,0.06525186428793872,2.415111857276324,4.0
10.569456746875646,0.4442364186718911,0.11316174067718482,1.5141213955729704,4.0
6.460000408431736,0.552500153161901,0.09,3.9,4.0
6.809608992253902,0.9887620713243701,0.0654234604647659,2.4254076278859538,4.0
8.024595558876817,0.7589361121490056,0.1923043715843153,2.2,4.0
6.99515990470074,0.45026793964380174,0.1656254904995728,2.1,4.0
7.339094420601245,0.6286830472104357,0.3220854077247167,2.2854592274683263,4.0
7.56349164965557,0.5605396659862228,0.07742849693800258,1.8107933197244561,4.0
6.997174841891919,0.6940177550155984,0.009165573274428906,1.6611038218295262,4.0
8.301360786487049,0.857959154146891,0.18768710814196915,2.1,4.0
8.581672362419003,0.9049665830543546,0.044541809060475064,1.7090301510079176,4.0
6.8441583702684925,0.9229320941500586,0.06252333544391386,2.0693917247076308,4.0
6.674537114661303,0.6329514179979886,0.09,3.9,4.0
7.814048143224689,0.5475489840847829,0.3841663647206559,2.1459149734746386,4.0
7.530769135482666,0.691065056873046,0.2339644919106051,1.997041405458872,4.0
10.628432907871598,0.5966988093959569,0.5689155851129626,2.139277056741975,4.0
6.882723120916612,0.6859087943511868,0.08468208508393196,3.7995504960298265,4.0
9.64235354968904,0.8373100846451607,0.2657646450310959,3.259185707596628,4.0
7.567845602450348,1.2922181419305994,0.0225080782847576,2.2286175901986147,4.0
7.021577455253008,0.8387786750972477,0.0631653922179001,2.158269610895005,4.0
7.815858641448027,0.9171297280735218,0.3783013466274657,2.1,4.0
6.6388906994978365,0.3512963566499279,0.3881483412797692,8.512950530114857,4.0
6.5313217948096165,0.6770804101867711,0.08212069231142298,3.4272415386853785,4.0
7.1,0.8421712096374906,0.02186103683213481,4.480644929392509,4.0
9.4084573537881,0.6059888830894411,0.16934074460703932,2.269278584611756,4.0
7.675664616716193,1.4047103046074858,0.00756646167161931,2.0243353832838067,4.0
7.235545766164103,0.923684672371392,0.06523704637472523,2.0336493951662997,4.0
6.0638806516196535,0.3394262912755831,0.32695649315543257,12.751983856003239,4.0
7.690284711345322,0.44131396254460403,0.23738092443259776,2.515429017179857,4.0
6.740245501881413,0.9357945724896092,0.017545219330562422,2.4666020817982854,4.0
12.042020562488982,0.4556382910713237,0.3883189163869876,3.8457436606985462,4.0
6.811868719997087,0.5994065640001456,0.11193742691086073,1.7765572666642406,4.0
7.561380798089348,0.7658421945040743,0.2379210972520372,2.080197256869907,4.0
7.881812622851673,0.8448840358191381,0.2028187699415152,2.929539200708132,4.0
6.648699542806844,0.6713518140255168,0.002703628051033521,3.894455792344972,4.0
9.697316590931713,0.5671388792538701,0.18932914773292825,2.1226520170652488,4.0
6.870385490187628,0.4117173071957397,0.2163083921501021,2.0506424836460457,4.0
8.523877774549057,0.6462129864541628,0.09466457386646412,2.070646295758176,4.0
6.4640660304566655,0.6925768893401667,0.0,2.1293406700507407,4.0
5.6318272958461675,0.618585453517948,0.028939090138461045,1.5247545634359092,4.0
9.476508217265646,0.8378086338678801,0.20899720383409964,2.959888153363985,4.0
7.428880132739789,1.0723280796438743,0.022898194054207528,3.5622791371913625,4.0
9.94808649586815,0.9375318917355308,0.2146383469129936,3.34042607681104,4.0
5.640141658136324,0.9437926597456756,0.09557647152840368,1.7048293610172969,4.0
7.5,0.8156862726918345,0.01685729796995401,2.102287575639448,4.0
7.450495335678879,0.751482563324552,0.0007816525945440145,1.8895779654060805,4.0
8.818116273839292,0.7177318608312493,0.20772224766101266,5.175012016462795,4.0
7.642645931030223,0.8349949935969869,0.10885492118180967,2.0918065615757464,4.0
5.477170441879448,0.6907523951031821,0.17360772372624494,6.887460081613632,4.0
6.425102197072384,0.5726737350230536,0.09928782071995924,3.7661216156139488,4.0
7.5375406864876675,0.6458759038856154,0.11266591304082132,4.004570526347953,4.0
5.445048467914204,0.6802071053754015,0.11126861188726556,2.0647896471702416,4.0
7.125381247271973,0.4880841386812798,0.0,2.1809640645460213,4.0
7.965160195955438,0.6331450244944296,0.18298684506975027,1.932580097977718,4.0
